direction,entry_time,exit_time,entry_price,exit_price,qty,notional,pnl,return_pct,r_multiple,hold_hours,entry_label,exit_label,entry_regime,exit_regime,entry_bar,exit_bar,cumulative_pnl,trade_number,is_win,running_win_rate,running_profit_factor
SHORT,2024-05-20 15:15:00,2024-05-20 15:30:00,67341.04,67364.71,0.00463987,312.45,-0.1723,-0.0351,-0.0552,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,13501,13502,476.2570000000003,1208,0,58.609271523178805,1.8198393913050985
SHORT,2024-05-20 16:00:00,2024-05-20 16:15:00,67701.53,67832.0,0.00461506,312.45,-0.6647,-0.1927,-0.2127,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,1,13504,13505,475.5923000000003,1209,0,58.56079404466501,1.8177594575601612
LONG,2024-05-20 16:15:00,2024-05-20 16:30:00,67492.84,68249.99,0.00462902,312.43,3.4417,1.1218,1.1016,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,1,2,13505,13506,479.03400000000033,1210,1,58.595041322314046,1.8236773051053903
LONG,2024-05-20 16:30:00,2024-05-20 16:45:00,67908.74,68190.06,0.00460216,312.53,1.2319,0.4143,0.3942,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,2,2,13506,13507,480.26590000000033,1211,1,58.62923203963666,1.8257955014592175
SHORT,2024-05-22 11:00:00,2024-05-22 11:15:00,70241.39,70051.99,0.00444983,312.56,0.7805,0.2696,0.2497,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,13676,13677,481.04640000000035,1212,1,58.66336633663366,1.8271375359215623
LONG,2024-05-22 12:00:00,2024-05-22 12:15:00,69701.73,70039.56,0.00448459,312.58,1.4522,0.4847,0.4646,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,13680,13681,482.49860000000035,1213,1,58.69744435284419,1.8296345281652735
LONG,2024-05-22 12:30:00,2024-05-22 12:45:00,69689.36,69643.88,0.00448598,312.63,-0.2665,-0.0653,-0.0853,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,13682,13683,482.23210000000034,1214,0,58.6490939044481,1.828796510143061
SHORT,2024-05-22 14:15:00,2024-05-22 14:30:00,69992.1,69821.14,0.00446644,312.62,0.7012,0.2443,0.2243,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,13689,13690,482.9333000000004,1215,1,58.68312757201646,1.830001639608545
SHORT,2024-05-22 14:45:00,2024-05-22 15:00:00,70170.25,69972.64,0.00445537,312.63,0.8181,0.2816,0.2617,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,13691,13692,483.7514000000004,1216,1,58.7171052631579,1.8314076812738511
SHORT,2024-05-22 15:30:00,2024-05-22 15:45:00,70322.5,70455.9,0.00444605,312.66,-0.6557,-0.1897,-0.2097,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,13694,13695,483.09570000000036,1217,0,58.66885784716516,1.829346136038357
