direction,entry_time,exit_time,entry_price,exit_price,qty,notional,pnl,return_pct,r_multiple,hold_hours,entry_label,exit_label,entry_regime,exit_regime,entry_bar,exit_bar,cumulative_pnl,trade_number,is_win,running_win_rate,running_profit_factor
SHORT,2026-02-15 07:15:00,2026-02-15 07:30:00,90.05,90.02,0.5633677,50.73,0.0686,0.0341,0.1353,0.25,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,29,30,1.9309999999999996,16,1,56.25,2.9686002650626984
SHORT,2026-02-15 07:30:00,2026-02-15 07:45:00,90.92,90.74,0.55745761,50.69,0.3403,0.2014,0.6713,0.25,SELL_OPEN_SHORT,PRUNE_GAP,0,0,30,31,2.2712999999999997,17,1,58.82352941176471,3.315526557243349
SHORT,2026-02-15 08:00:00,2026-02-15 08:15:00,91.19,90.0,0.55638806,50.74,-0.0149,1.3097,-0.0293,0.25,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,32,33,2.2563999999999997,18,0,55.55555555555556,3.2659168507732486
SHORT,2026-02-15 08:15:00,2026-02-15 08:30:00,90.45,89.52,0.56136303,50.78,0.9216,1.0287,1.8151,0.25,SELL_OPEN_SHORT,PRUNE_GAP,0,0,33,34,3.178,19,1,57.89473684210527,4.191403896364733
SHORT,2026-02-15 08:30:00,2026-02-15 09:00:00,89.97,90.29,0.56690305,51.0,-0.1925,-0.3574,-0.3775,0.5,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,34,36,2.9855,20,0,55.00000000000001,3.512412690398048
LONG,2026-02-15 10:15:00,2026-02-15 11:45:00,89.22,89.17,0.57161947,51.0,-0.0397,-0.0579,-0.0779,1.5,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,41,47,2.9458,21,0,52.38095238095239,3.3988599348534203
LONG,2026-02-15 11:45:00,2026-02-15 12:30:00,89.02,89.08,0.57619887,51.29,0.142,0.0652,0.2767,0.75,BUY_OPEN_LONG,PRUNE_GAP,0,0,47,50,3.0878,22,1,54.54545454545454,3.514495114006515
SHORT,2026-02-15 12:45:00,2026-02-15 17:30:00,87.75,87.06,0.58242229,51.11,0.8894,0.7824,1.7403,4.75,SELL_OPEN_SHORT,PRUNE_GAP,0,0,51,70,3.9772,23,1,56.52173913043478,4.238762214983714
SHORT,2026-02-15 12:45:00,2026-02-15 17:30:00,88.18,87.1,0.57953901,51.11,0.37,1.2332,0.724,4.75,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,51,70,4.3472,24,1,58.333333333333336,4.540065146579805
LONG,2026-02-15 17:30:00,2026-02-15 17:45:00,87.09,86.42,0.58670918,51.1,-0.4046,-0.772,-0.7918,0.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,70,71,3.9426,25,0,56.00000000000001,3.4149209849320106
SHORT,2026-02-15 12:45:00,2026-02-15 17:45:00,88.62,86.42,0.57668414,51.11,1.0118,2.4821,1.9798,5.0,SELL_OPEN_SHORT,PRUNE_GAP,0,0,51,71,4.9544,26,1,57.692307692307686,4.034668626730369
SHORT,2026-02-15 17:45:00,2026-02-15 17:45:00,86.85,85.99,0.59367467,51.56,0.0379,0.995,0.0735,0.0,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,71,71,4.992299999999999,27,1,59.25925925925925,4.0578831312017645
LONG,2026-02-15 17:45:00,2026-02-15 18:15:00,85.99,86.84,0.59964172,51.56,0.2357,0.9925,0.4571,0.5,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,71,73,5.227999999999999,28,1,60.71428571428571,4.2022540732573805
