bar,timestamp,price,qty,label,regime,pnl,datetime
510,1765956600000.0,0.13109,0.0,PRUNE_OLDEST,0,0.040623298535927305,2025-12-17 07:30:00
513,1765959300000.0,0.13043455,68.9493572638825,BUY_OPEN_LONG,0,0.0,2025-12-17 08:15:00
514,1765960200000.0,0.13033,0.0,PRUNE_OLDEST,0,-0.009005889248379884,2025-12-17 08:30:00
517,1765962900000.0,0.12967835,69.34892563451008,BUY_OPEN_LONG,0,0.0,2025-12-17 09:15:00
518,1765963800000.0,0.12986,0.0,PRUNE_OLDEST,-2,0.010796102044929637,2025-12-17 09:30:00
527,1765971900000.0,0.1305093,68.90945070804774,SELL_OPEN_SHORT,0,0.0,2025-12-17 11:45:00
528,1765972800000.0,0.13003,0.0,PRUNE_OLDEST,0,0.03123624054925297,2025-12-17 12:00:00
535,1765979100000.0,0.13068015,68.82611706952616,SELL_OPEN_SHORT,0,0.0,2025-12-17 13:45:00
535,1765979100000.0,0.1313303,68.48539371769682,SELL_OPEN_SHORT,0,0.0,2025-12-17 13:45:00
536,1765980000000.0,0.13104,68.48539371769682,PRUNE_OLDEST,0,-0.02657087310362678,2025-12-17 14:00:00
537,1765980900000.0,0.13111,0.0,PRUNE_OLDEST,0,0.013291508241943615,2025-12-17 14:15:00
539,1765982700000.0,0.1303848,68.97508180311279,BUY_OPEN_LONG,0,0.0,2025-12-17 14:45:00
539,1765982700000.0,0.1297296,69.32344080211841,BUY_OPEN_LONG,0,0.0,2025-12-17 14:45:00
539,1765982700000.0,0.131695598684524,68.28855584935607,SELL_OPEN_SHORT,0,0.0,2025-12-17 14:45:00
539,1765982700000.0,0.13235079868452398,67.9504947100414,SELL_OPEN_SHORT,0,0.0,2025-12-17 14:45:00
539,1765982700000.0,0.133005998684524,67.61576421236195,SELL_OPEN_SHORT,0,0.0,2025-12-17 14:45:00
539,1765982700000.0,0.133661198684524,67.28431537643985,SELL_OPEN_SHORT,0,0.0,2025-12-17 14:45:00
539,1765982700000.0,0.134316398684524,66.95610017809919,SELL_OPEN_SHORT,0,0.0,2025-12-17 14:45:00
539,1765982700000.0,0.130385198684524,6.8485393717696805,BUY_CLOSE_SHORT,0,0.01772585248030623,2025-12-17 14:45:00
539,1765982700000.0,0.129729998684524,6.8485393717696805,BUY_CLOSE_SHORT,0,0.022213912909288966,2025-12-17 14:45:00
540,1765983600000.0,0.13579,69.32344080211841,PRUNE_OLDEST,2,0.3709508868905762,2025-12-17 15:00:00
540,1765983600000.0,0.13579,67.9504947100414,PRUNE_DEVIANCE,2,-0.22500201101107387,2025-12-17 15:00:00
540,1765983600000.0,0.1345706357881711,66.87120023597681,BUY_OPEN_LONG,2,0.0,2025-12-17 15:00:00
540,1765983600000.0,0.13457729052172965,26.98066744769424,BUY_CLOSE_SHORT,2,-0.034390420249836726,2025-12-17 15:00:00
541,1765984500000.0,0.13486,66.87120023597681,PRUNE_OLDEST,2,0.35378718884587407,2025-12-17 15:15:00
541,1765984500000.0,0.13486,67.61576421236195,PRUNE_OLDEST,2,-0.10390658264242693,2025-12-17 15:15:00
542,1765985400000.0,0.13239,0.0,PRUNE_OLDEST,1,-0.1475923480723748,2025-12-17 15:30:00
542,1765985400000.0,0.13239,67.28431537643985,PRUNE_OLDEST,1,0.039860891603084966,2025-12-17 15:30:00
542,1765985400000.0,0.13347611790838382,67.4675798559982,BUY_OPEN_LONG,1,0.0,2025-12-17 15:30:00
542,1765985400000.0,0.13209517857495887,68.17289427972841,BUY_OPEN_LONG,1,0.0,2025-12-17 15:30:00
542,1765985400000.0,0.13348302357610387,20.185617976690104,BUY_CLOSE_SHORT,1,0.009654327468923914,2025-12-17 15:30:00
542,1765985400000.0,0.1321020842426789,20.185617976690104,BUY_CLOSE_SHORT,1,0.037535016325191774,2025-12-17 15:30:00
543,1765986300000.0,0.12994,68.17289427972841,PRUNE_OLDEST,0,-0.24032666482940823,2025-12-17 15:45:00
543,1765986300000.0,0.12994,66.95610017809919,PRUNE_OLDEST,0,0.09944949863753305,2025-12-17 15:45:00
543,1765986300000.0,0.13161576204775344,6.817289427972841,SELL_CLOSE_LONG,0,-0.003447773771145569,2025-12-17 15:45:00
543,1765986300000.0,0.13162485604013882,68.36976139988708,SELL_OPEN_SHORT,0,0.0,2025-12-17 15:45:00
544,1765987200000.0,0.12881,0.0,PRUNE_OLDEST,0,-0.2031447616048201,2025-12-17 16:00:00
544,1765987200000.0,0.12881,68.36976139988708,PRUNE_OLDEST,0,0.3669620588887536,2025-12-17 16:00:00
544,1765987200000.0,0.1306494889115379,68.91658871012237,SELL_OPEN_SHORT,0,0.0,2025-12-17 16:00:00
545,1765988100000.0,0.12685,68.91658871012237,PRUNE_OLDEST,0,0.32472122733638636,2025-12-17 16:15:00
545,1765988100000.0,0.12870653505697083,70.03263264481872,SELL_OPEN_SHORT,0,0.0,2025-12-17 16:15:00
546,1765989000000.0,0.12663,70.03263264481872,PRUNE_OLDEST,0,0.27526408261568347,2025-12-17 16:30:00
